Zaktualizowany czas;Strefa czasowa;Produkcja(kWh);Zużycie(kWh);Wejście do sieci(kWh);Zakupiona energia(kWh);Ładowanie energii(kWh);Rozładowanie energii(kWh);Stosunek własny(%);Oczekiwany dochód(PLN)
2022/04/03;UTC+01:00;35.60;15.94;11.15;7.35;14.19;5.05;;
2022/04/04;UTC+01:00;57.02;17.41;35.12;0.52;10.47;12.01;20.05;
2022/04/05;UTC+01:00;20.52;17.49;0.90;2.11;9.42;11.87;;
2022/04/06;UTC+01:00;27.79;15.37;4.28;4.18;12.68;6.96;;
2022/04/07;UTC+01:00;49.05;12.09;30.06;0.52;10.79;9.81;;
2022/04/08;UTC+01:00;40.39;16.77;20.20;0.89;10.76;12.95;;
2022/04/09;UTC+01:00;15.97;22.11;0.46;9.09;4.83;8.90;;
2022/04/10;UTC+01:00;52.34;16.46;26.11;4.90;13.12;5.12;;
2022/04/11;UTC+01:00;44.50;14.96;24.26;0.59;10.71;11.26;;
2022/04/12;UTC+01:00;49.41;11.72;28.91;0.45;11.66;8.99;;
2022/04/13;UTC+01:00;46.09;13.40;27.01;0.55;9.66;9.85;;
2022/04/14;UTC+01:00;1.26;3.50;0.13;0.14;0.26;4.60;;
